Konrad,,Max,,Oma,
Faber Seeger,Punkte,Faber Seeger,Punkte,Faber Seeger,Punkte
40,,-50,-40,40,
,,50,18,,
40,,-50,-54,40,
50,33,,,,
,,50,20,,
50,96,,,,
40,,-50,-46,40,
,,50,48,,
40,,-50,-144,40,
,,50,30,,
,,50,48,,
50,36,,,,
,,50,24,,
40,,-50,-48,40,
,,50,45,,
40,,-50,-46,40,
,,50,18,,
50,24,,,,
,,50,20,,
-50,-96,40,,40,
50,60,,,,
-50,-72,40,,40,
-50,-48,40,,40,
-50,-44,40,,40,
50,72,,,,
50,22,,,,
-50,-36,40,,40,
,,50,120,,
40,,-50,-48,40,
40,,-50,-48,40,
,,50,24,,
50,30,,,,
50,144,,,,
,,50,60,,
50,22,,,,
,,50,46,,
-50,-46,40,,40,
,,50,27,,
50,48,,,,
50,36,,,,
50,72,,,,
50,120,,,,
,,50,24,,
50,22,,,,
,,50,24,,
50,36,,,,
-50,-46,40,,40,
,,50,24,,
50,30,,,,
50,18,,,,
-50,-40,40,,40,
40,,-50,-46,40,
40,,-50,-100,40,
,,50,22,,
,,50,30,,
,,50,24,,
,,50,120,,
,,50,46,,
-46,-50,40,,40,
-66,-50,40,,40,
,,50,92,,
,,50,36,,
240,50,,,,
,,50,48,,
50,33,,,,
40,,-50,-96,40,
,,50,23,,
,,50,50,,
50,33,,,,
50,33,,,,
,,50,96,,
,,50,30,,
,,50,48,,
-50,-72,40,,40,
,,50,23,,
,,50,48,,
,,-50,-60,,
,,50,35,,
-50,-46,40,,40,
50,72,,,,
50,30,,,,
50,36,,,,
,,50,18,,
,,50,22,40,
-50,-40,40,,,
40,,-50,-92,40,
50,20,,,,
,,50,48,,
50,120,,,,
40,,-50,-44,40,
-50,-96,40,,40,
-50,-46,,,40,
-50,-96,,,40,
,,-50,-66,40,
-40,-66,,,40,
50,120,,,,
,,50,40,,
50,72,,,,
,,50,24,,
40,,-50,-96,40,
,,50,144,,
50,20,,,,
-50,-48,40,,40,
,,50,20,,
40,,-50,-72,40,
40,,-50,-48,40,
40,,-50,-240,40,
50,27,,,,
,,50,40,,
50,24,,,,
50,46,,,,
,,50,120,,
,,50,96,,
50,120,,,,
,,50,23,,
,,50,36,,
40,,-50,-60,40,
40,,-50,-96,40,
50,120,,,,
-50,-48,40,,40,
50,144,,,,
,,,33,,
50,120,,,,
40,,-50,-40,40,
-50,-40,40,,40,
,,50,46,,
,,50,33,,
,,50,18,,
,,50,36,,
50,22,,,,
50,120,,,,
40,,-50,-100,40,
-50,-88,40,,40,
50,48,,,,
,,50,48,,
50,22,,,,
,,50,23,,
50,48,,,,
50,33,,,,
40,,-50,-48,40,
50,30,,,,
40,,-50,-48,40,
,,50,22,,
50,22,,,,
50,33,,,,
,,50,46,,
,,50,36,,
,,50,27,,
50,48,,,,
,,50,46,,
40,,-50,-46,40,
,,50,72,,
,,50,22,,
50,40,,,,
,,50,40,,
50,20,,,,
50,24,,,,
40,,-50,-60,40,
50,48,,,,
-50,-192,40,,40,
,,50,48,,
-50,-44,40,,40,
,,50,120,,
,,50,48,,
-50,-54,40,,40,
,,50,48,,
50,48,,,,
,,50,36,,
50,20,,,,
,,50,120,,
,,50,46,,
,,50,46,,
-50,-46,40,,40,
50,27,,,,
50,96,,,,
50,48,,,,
50,48,,,,
40,,-50,-46,40,
,,50,55,,
,,50,96,,
,,50,48,,
,,50,60,,
,,50,120,,
50,36,,,,
-50,-92,40,,40,
50,23,,,,
,,50,120,,
,,50,24,,
,,50,22,,
,,50,24,,
-50,-60,40,,40,
,,50,48,,
40,,-50,-92,40,
,,50,120,,
,,50,22,,
-50,-40,40,,40,
,,50,22,,
,,50,22,,
50,30,,,,
-50,-96,40,,40,
-50,-144,40,,40,
,,50,24,,
50,72,,,,
,,50,20,,
50,48,,,,
40,,-50,-36,40,
40,,-50,-72,40,
,,50,33,,
40,,-50,-46,40,
,,50,30,,
,,50,23,,
,,50,24,,
50,24,,,,
50,168,,,,
40,,-50,-48,40,
-50,-40,40,,40,
,,50,44,,
-50,-46,40,,40,
40,,-50,-46,40,
40,,-50,-120,40,
50,20,,,,
50,44,,,,
,,50,46,,
50,144,,,,
,,50,44,,
50,30,,,,
,,50,24,,
,,50,24,,
50,144,,,,
,,50,23,,
,,50,24,,
,,50,33,,
,,50,120,,
,,50,24,,
,,50,30,,
40,,-50,-96,40,
50,72,,,,
40,,-50,-96,40,
,,50,240,,
,,50,110,,
50,48,,,,
,,50,36,,
,,50,46,,
40,,-50,-240,40,
,,50,59,,
,,50,36,,
,,50,144,,
-50,-100,40,,40,
40,,-50,-48,40,
,,50,23,,
40,,-50,-46,40,
,,50,23,,
50,24,,,,
-50,-66,40,,40,
50,36,,,,
50,33,,,,
,,50,120,,
,,50,24,,
40,,-50,-46,40,
,,50,27,,
,,50,36,,
50,18,,,,
,,50,20,,
,,50,72,,
50,40,,,,
50,40,,,,
50,48,,,,
-50,-54,40,,40,
,,50,48,,
50,20,,,,
50,23,,,,
,,50,30,,
,,50,23,,
,,50,23,,
,,50,36,,
-50,-46,40,,40,
50,120,,,,
,,50,36,,
50,96,,,,
50,27,,,,
-50,-72,40,,40,
50,27,,,,
,,50,23,,
40,,-50,-92,40,
,,50,72,,
,,50,50,,
,,50,20,,
,,50,27,,
,,50,30,,
50,44,,,,
40,,-50,-144,40,
50,72,,,,
40,,-50,-46,40,
,,50,18,,
40,,-50,-72,40,
,,50,48,,
,,50,36,,
,,50,96,,
,,50,30,,
,,50,20,,
-50,-46,40,,40,
-50,-120,40,,40,
50,48,,,,
,,50,46,,
50,36,,,,
,,50,33,,
,48,,,,
40,,-50,-36,40,
-50,-144,40,,40,
40,,-50,72,40,
-50,-224,40,,40,
,,50,24,,
40,,-50,-120,40,
,,50,46,,
,,50,44,,
,,50,27,,
40,,-50,72,40,
40,,-50,-88,40,
40,,-50,-72,40,
50,44,,,,
50,18,,,,
50,120,,,,
,,50,20,,
,,50,120,,
,,50,44,,
,,50,22,,
,,50,22,,
,,50,20,,
,,50,36,,
-50,-46,40,,40,
,,50,24,,
50,23,,,,
,,50,72,,
,,50,33,,
,,50,24,,
50,36,,,,
50,46,,,,
50,18,,,,
,,50,46,,
,,50,27,,
-50,-96,40,,40,
50,60,,,,
50,72,,,,
-50,-54,40,,40,
,,50,18,,
50,45,,,,
50,96,,,,
,,50,45,,
50,48,,,,
50,48,,,,
,,50,18,,
50,72,,,,
50,18,,,,
,,50,59,,
50,46,,,,
