Situation,Bedingungen,Spruch
Sieg,,Der Sack ist zu
Sieg,Schneider,Schneider sind auch Menschen
Sieg,Kreuz,"Ein Kreuz, ein Leid…"
Niederlage,,Jetzt ist der Drops gelutscht
Niederlage,,"Skat ist wie das Leben – mal hat man Glück, mal nicht"
Sieg,,Glück muss man haben
Sieg,,Auf das magerste Pferd setzen sich die meisten Fliegen
Sieg,,"Das genügt, sagt der Staatsanwalt"
Sieg,,Die ersten Pflaumen sind immer madig
Sieg,ab 3. Mal in Folge,Heute läuft’s
Sieg,ab 4. Mal in Folge,Er hat sich dicke vollgesogen
Sieg,ab 5. Mal in Folge,Du hast dich wohl am Schweinestall gescheuert
Sieg,Herz,Herzen mit Schmerzen
Sieg,Karo Mit/Ohne 1,Billig mit Millich still ich das Kind
Sieg,mit mindestens 3,"Wer die Buben hat, hat die Macht"
Sieg,mit mindestens 3,Das Spiel gewinnt meine Großmutter in der Narkose
Sieg,Null,Null auf dem Pferde
Sieg,Pik,"Grün, das scheißen die Gänse"
Sieg,Schneider,Oma-Blatt
Sieg,Schneider,Alle Gewehre auf’s Rathaus
Sieg,Schneider,Der hat sich aber warm angezogen
Sieg,Schneider,Endlich wird die Wiese grün
Sieg,Schwarz,Der spielt mit gezinkten Karten
Sieg,Schwarz,Schwarz wie die Nacht
Sieg,Pik,"Also, Pikus der Waldspecht"
Sieg,Karo Mit/Ohne 1,"Karo, dieser Hühnerhund"
Niederlage,,Dem Alleinspieler nichts schenken
Niederlage,,"Wer zählt, gewinnt"
Niederlage,,"Erst denken, dann spielen"
Niederlage,,"„Einmal genügt“, sagt der Staatsanwalt"
Niederlage,,"Aber wer sagt denn, dass der Löwe kein Schmalz frisst"
Niederlage,,"Aha, sagte die Polizei, jetzt kommt’s Gewitter von hinten"
Niederlage,,"Aus, dein treuer Vater…"
Niederlage,,Die Beerdigung findet vom Trauerhaus aus statt
Niederlage,,Ein richtiger Skatspieler gewinnt mit 59…
Niederlage,,Gute Nacht Lisette
Niederlage,ab 3. Mal in Folge,Das wird aber ein kalter Winter
Niederlage,ab 4. Mal in Folge,Jetzt kann man wohl das Licht ausmachen
Niederlage,ab 5. Mal in Folge,Kein Abend für Künstler
Niederlage,ohne mindestens 3,Ohne Trumpf kein Kampf
Niederlage,Schneider,Abgestochen wie eine Sau
Niederlage,Schneider,Da bist du aber fein davon gekommen
Niederlage,Schneider,Da war kein Blumentopf zu gewinnen
Niederlage,Schneider,Der sitzt im Keller
Niederlage,Spaltarsch,Ehrlich geteilt
Niederlage,Spaltarsch,Höhere Gewalten haben ihm den Arsch gespalten
Niederlage,Spaltarsch,"Mensch, du hast doch glatt dasselbe wie wir"
Niederlage,Eingpasst,Raupenfraß
Niederlage,zum ersten mal sein 200. Spiel,Die Karten müssen zum Pastor
